Réf. client :,Description,Kilométrage,Date de 1ere immatriculation,Energie,Marque,Modèle,Pays,Prix,Vendeur,Localisation,Poids à vide,PTC,Essieux,Puissance,Etat
30011235,Tracteur Renault T-Series,495000.0,2023-01-01,Gazoil,Renault,480 T4X2 E6,FRANCE,1175,CLOVIS LOCATION CARCASSONNE,Aude,6.81,18.0,4x2,460.0,Occasion
XLRTEF5300G463200,Tracteur produits dangereux / adr Mercedes Actros 1843,327600.0,2016-03-25,Gazoil,Mercedes,480,FRANCE,1699,AVIE SARL,Rhône,7.52,30.0,4x2,520.0,Occasion
XLRTEF5300G432523,Tracteur DAF XF105 460,417683.0,2007-08-01,Gazoil,DAF,480,FRANCE,1525,AVIE SARL,Rhône,7.78,19.0,4x2,480.0,Occasion
70308462,Tracteur Volvo FH 480,1098000.0,2008-04-18,Gazoil,Volvo,18.440,FRANCE,1305,GUAINVILLE INTERNATIONAL,Yvelines,7.83,19.5,4x2,482.0,Occasion
70297612,Tracteur Renault C-Series 480,784000.0,2020-07-10,Gazoil,Renault,480,FRANCE,1455,CLOVIS LOCATION CARCASSONNE,Aude,8.31,20.5,4x2,500.0,Occasion
19178 A,Tracteur Mercedes Actros 1845 LS,825000.0,2016-07-01,Gazoil,Mercedes,460 SSC,FRANCE,2600,TLS,Landes,7.82,19.0,4x2,482.0,Occasion
26030320,Tracteur MAN TGX TGX 18.470 4x2 BL SA,163700.0,2022-06-01,Gazoil,MAN,480 T4X2 E6,FRANCE,1972,MAN TopUsed Center Paris Nord-Est,SeineSaintDenis,8.19,18.0,4x2,440.0,Occasion
26010106,Tracteur Renault C-Series,82353.0,2018-03-07,Gazoil,Renault,780,FRANCE,1300,SOVIM,Somme,7.28,18.0,4x2,479.0,Occasion
25080959,Tracteur Renault T-Series T480 ADR,68696.0,2017-10-01,Gazoil,Renault,780,FRANCE,1598,SCANIA USED CORNER Artigues,Gironde,7.22,18.0,4x2,640.0,Occasion
23020275,Tracteur Renault T-Series T440 13L,1421000.0,2019-02-01,Gazoil,Renault,480 FT,FRANCE,1892,SCANIA USED CORNER Artigues,Gironde,8.22,18.0,4x2,500.0,Occasion
23091268,Tracteur Volvo FH 500 Globetrotter,1000000.0,2023-05-03,Gazoil,Volvo,460 Globetrotter,FRANCE,1755,VOLVO TRUCK CENTER RHONE ALPES H,Rhône,7.24,18.0,4x2,500.0,Occasion
242658,Tracteur DAF 480 CF,966134.0,2019-10-15,Gazoil,DAF,18.520,FRANCE,1097,DPL 21,Côted'Or,8.05,20.5,4x2,429.0,Occasion - Accidenté
447875843,Tracteur Renault,531048.0,,Gazoil,Renault,500 Globetrotter XL,FRANCE,1350,Enchères du Domaine de Saint Maurice Fourrières,ValdeMarne,8.43,19.0,4x2,440.0,Occasion
E3795,Tracteur produits dangereux / adr DAF XF 480,818000.0,2022-01-18,Gazoil,DAF,2648 LS,FRANCE,2490,GSVI LYON,Rhône,11.75,19.5,4x2,510.0,Occasion
449475197,Tracteur Renault neuf T-High 480 T4X2 E6,351593.0,,Gazoil,Renault,,ESPAGNE,1750,CT Trucks S.L.,Madrid,,40.0,4x2,482.0,Neuf
449467920,Tracteur Renault neuf T-High 480 T4X2 E6,630000.0,,Gazoil,Renault,,ESPAGNE,1099,CT Trucks S.L.,Madrid,,18.0,4x2,482.0,Neuf
70308198,Tracteur produits dangereux / adr Mercedes E Actros 2563 6x2 GIGASPACE / RETARDER / HYDRAULICS / ADR,267480.0,2015-11-01,Gazoil,Mercedes,,ESTONIE,1099,KB Auto Estonia OÜ,Estonie,,18.0,4x2,482.0,Occasion
