Réf. client :,Description,Kilométrage,Date de 1ere immatriculation,Energie,Marque,Modèle,Pays,Prix,Vendeur,Localisation,Photo,Poids à vide,PTC,Essieux,Puissance,Etat
71597,Tracteur Mercedes Actros 1845,782 514 km,08/04/2014,Gazoil,Mercedes,420 DCI,FRANCE,Prix sur demande,GUAINVILLE INTERNATIONAL, Yvelines,https://photo.static-viamobilis.com/31/1/10164914_th.jpg,8 Tonnes,18 Tonnes,4x2,479,Occasion
71831,Tracteur Mercedes Arocs 1842,539 809 km,11/09/2015,Gazoil,Mercedes,450,FRANCE,Prix sur demande,GUAINVILLE INTERNATIONAL, Yvelines,https://photo.static-viamobilis.com/31/1/11115216_th.jpg,8 Tonnes,26 Tonnes,4x2,479,Occasion
71836,Tracteur Mercedes Arocs 2042,1 427 696 km,03/10/2016,Gazoil,Mercedes,530,FRANCE,Prix sur demande,GUAINVILLE INTERNATIONAL, Yvelines,https://photo.static-viamobilis.com/31/1/11115215_th.jpg,7.84 Tonnes,44 Tonnes,4x2,479,Occasion
E65754,Tracteur produits dangereux / adr Scania G 420,850 000 km,20/07/2011,Gazoil,Scania,660,FRANCE,Prix sur demande,AVIE SARL, Rhône,https://photo.static-viamobilis.com/31/1/7866902-photo-tracteur_th.jpg,8197 Tonnes,44 Tonnes,4x2,479,Occasion
E65428,Tracteur MAN,600 000 km,19/04/2007,Gazoil,MAN,500,FRANCE,Prix sur demande,AVIE SARL, Rhône,https://photo.static-viamobilis.com/31/1/2533161-photo-tracteur_th.jpg,7.83 Tonnes,19 Tonnes,4x2,530,Occasion
1734047,Tracteur Volvo FH12 420,125 000 km,19/11/2002,Gazoil,Volvo,580,FRANCE,Prix sur demande,AVIE SARL, Rhône,https://photo.static-viamobilis.com/31/1/3006529-photo-tracteur_th.jpg,25 Tonnes,0 Tonnes,4x2,500,Occasion
71931,Tracteur Scania R 500,1 km,14/09/2022,Gazoil,Scania,460,FRANCE,Prix sur demande,AVIE SARL, Rhône,https://photo.static-viamobilis.com/31/1/10980098-photo-tracteur_th.jpg,7.82 Tonnes,0.01 Tonnes,4x2,449,Occasion
vs_20241031.06,Ensemble routier porte engins MAN TGA 33.480,367 187 km,06/11/2007,Gazoil,MAN,33.530,FRANCE,Prix sur demande,MGM SARL, PyrénéesOrientales,https://photo.static-viamobilis.com/33/1/10347308_th.jpg,7.79 Tonnes,18 Tonnes,4x2,482,Occasion
vs_20240830.04,Tracteur produits dangereux / adr Renault T-Series,376 198 km,16/01/2020,Gazoil,Renault,480 DXI,FRANCE,Prix sur demande,Renault Trucks France – centre occasion Lyon, Rhône,https://photo.static-viamobilis.com/31/1/11167305_th.jpg,9380 Tonnes,19 Tonnes,4x2,482,Occasion
vs_20240909.09,Tracteur Renault T-Series,411 477 km,01/09/2022,Gazoil,Renault,18.470,FRANCE,Prix sur demande,Renault Trucks France – centre occasion Lyon, Rhône,https://photo.static-viamobilis.com/31/1/11167303_th.jpg,14.6 Tonnes,18 Tonnes,4x2,482,Occasion
vs_20240909.16,Tracteur Renault T-Series,817 870 km,29/11/2022,Gazoil,Renault,1844,FRANCE,Prix sur demande,Renault Trucks France – centre occasion Lyon, Rhône,https://photo.static-viamobilis.com/31/1/11167301_th.jpg,7.95 Tonnes,18 Tonnes,4x2,530,Occasion
vs_20240909.12,Tracteur Renault T-Series,559 816 km,01/08/2022,Gazoil,Renault,480,FRANCE,Prix sur demande,Renault Trucks France – centre occasion Lyon, Rhône,https://photo.static-viamobilis.com/31/1/11167304_th.jpg,7.91 Tonnes,18 Tonnes,4x2,448,Occasion
vs_20240909.06,Tracteur Volvo FH13 460,279 105 km,02/08/2023,Gazoil,Volvo,500,FRANCE,Prix sur demande,VOLVO TRUCK CENTER ILE DE FRANCE MASSY, Essonne,https://photo.static-viamobilis.com/31/1/11010547-photo-tracteur_th.jpg,8.06 Tonnes,44 Tonnes,4x2,530,Occasion
1253159053,Tracteur Volvo FH13 I SAVE 500,369 889 km,01/02/2023,Gazoil,Volvo,480,FRANCE,Prix sur demande,VOLVO TRUCK CENTER ILE DE FRANCE MASSY, Essonne,https://photo.static-viamobilis.com/31/1/11110933-photo-tracteur_th.jpg,8.17 Tonnes,44 Tonnes,4x2,482,Occasion
GC948,Tracteur DAF XF NGD 480,102 000 km,20/07/2022,Gazoil,DAF,460,FRANCE,Prix sur demande,Groupe Poids Lourds Synergies et France Poids Lourds, Vienne,https://photo.static-viamobilis.com/31/1/10373728_th.jpg,7.24 Tonnes,19 Tonnes,4x2,530,Occasion
GG031,Tracteur DAF XF 480 FT,395 000 km,27/10/2021,Gazoil,DAF,18.510,FRANCE,Prix sur demande,Groupe Poids Lourds Synergies et France Poids Lourds, Vienne,https://photo.static-viamobilis.com/31/1/10607070-photo-tracteur_th.jpg,10 Tonnes,19 Tonnes,4x2,482,Occasion
GF729,Tracteur DAF XF 480 FT,210 532 km,10/11/2022,Gazoil,DAF,18.400,FRANCE,Prix sur demande,Groupe Poids Lourds Synergies et France Poids Lourds, Vienne,https://photo.static-viamobilis.com/31/1/10757820-photo-tracteur_th.jpg,6863 Tonnes,18 Tonnes,4x2,500,Occasion
XLRTEM4300G366682,Tracteur DAF XF NGD 480,430 000 km,13/10/2022,Gazoil,DAF,500,FRANCE,Prix sur demande,Groupe Poids Lourds Synergies et France Poids Lourds, Vienne,https://photo.static-viamobilis.com/31/1/10793083-photo-tracteur_th.jpg,7.65 Tonnes,19 Tonnes,4x2,480,Occasion
XLRTEH4300G343411,Tracteur DAF XG 450 FT,492 000 km,31/10/2025,Gazoil,DAF,I SAVE 500,FRANCE,Prix sur demande,Groupe Poids Lourds Synergies et France Poids Lourds, Vienne,https://photo.static-viamobilis.com/no_photo.png,7.56 Tonnes,18 Tonnes,4x2,480,Occasion
XLRTEH4300G389721,Tracteur Mercedes Actros 1848 LS 4X2,800 000 km,21/09/2023,Gazoil,Mercedes,660,FRANCE,Prix sur demande,MERCEDES-BENZ GROUPE CHOPARD ETOILE 21 VI, Côted'Or,https://photo.static-viamobilis.com/31/1/9879560_th.jpg,7.3 Tonnes,18 Tonnes,4x2,460,Occasion
XLRTEF5300G436660,Tracteur Renault C-Series 520,50 000 km,29/06/2017,Gazoil,Renault,1843,FRANCE,Prix sur demande,BADA VI, Rhône,https://photo.static-viamobilis.com/31/1/11075776-photo-tracteur_th.jpg,8.09 Tonnes,19 Tonnes,4x2,460,Occasion
XLRTEH4300G354784,Tracteur Mercedes Actros 1848,341 175 km,05/05/2017,Gazoil,Mercedes,480,FRANCE,Prix sur demande,BADA VI, Rhône,https://photo.static-viamobilis.com/31/1/11051530-photo-tracteur_th.jpg,9.27 Tonnes,19 Tonnes,4x2,450,Occasion
1675953,Tracteur Mercedes Actros 1848,753 141 km,05/05/2017,Gazoil,Mercedes,480,FRANCE,Prix sur demande,BADA VI, Rhône,https://photo.static-viamobilis.com/31/1/11062648-photo-tracteur_th.jpg,8.63 Tonnes,19 Tonnes,4x2,480,Occasion
